time_ms,2nd order (accel-bounded)_case1,3rd order (jerk-bounded)_case1,4th order (snap-bounded)_case1,4th order, tight snap (20000)_case1,2nd order (accel-bounded)_case3b,3rd order (jerk-bounded)_case3b,4th order (snap-bounded)_case3b,4th order, tight snap (20000)_case3b
7.900,618452.689,115725.616,-41382.785,-61629.760,-43444.173,-1607.399,-2588.254,-5936.376
8.000,628808.263,122849.086,-38617.190,-59789.589,-39102.758,-1135.568,-1813.124,-5196.326
8.100,638996.941,130014.392,-35844.499,-57970.077,-34600.273,-610.571,-1018.588,-4435.558
8.200,649017.172,137220.181,-33064.516,-56171.372,-29976.684,-38.272,-211.213,-3660.676
8.300,658867.582,144465.117,-30277.024,-54393.597,-25272.507,575.139,602.399,-2878.327
8.400,668546.969,151747.884,-27481.785,-52636.845,-20528.476,1223.204,1415.656,-2095.149
8.500,678054.299,159067.184,-24678.541,-50901.186,-15785.214,1899.248,2222.037,-1317.712
8.600,687388.701,166421.740,-21867.013,-49186.663,-11082.901,2596.443,3015.150,-552.472
8.700,696549.465,173810.296,-19046.907,-47493.297,-6460.951,3307.860,3788.786,194.285
8.800,705536.032,181231.615,-16217.908,-45821.085,-1957.694,4026.534,4536.976,916.493
8.900,714347.996,188684.482,-13379.687,-44169.999,2389.931,4745.520,5254.046,1608.353
9.000,722985.095,196167.701,-10531.896,-42539.993,6546.667,5457.959,5934.658,2264.381
9.100,731447.210,203680.101,-7674.174,-40930.996,10479.222,6157.133,6573.858,2879.458
9.200,739734.356,211220.528,-4806.143,-39342.918,14156.550,6836.527,7167.113,3448.875
9.300,747846.684,218787.854,-1927.414,-37775.649,17550.136,7489.879,7710.340,3968.372
9.400,755784.472,226380.972,962.419,-36229.060,20634.240,8111.232,8199.939,4434.172
9.500,763548.123,233998.794,3863.772,-34703.003,23386.109,8694.980,8632.816,4843.010
9.600,771138.160,241640.259,6777.074,-33197.312,25786.149,9235.911,9006.400,5192.155
9.700,778555.223,249304.325,9702.766,-31711.804,27818.055,9729.246,9318.658,5479.426
9.800,785800.063,256989.974,12641.300,-30246.280,29468.917,10170.673,9568.105,5703.203
9.900,792873.540,264696.211,15593.135,-28800.524,30729.286,10556.376,9753.806,5862.435
10.000,799776.619,272422.063,18558.744,-27374.306,31593.206,10883.062,9875.377,5956.640
10.100,806510.365,280166.579,21538.607,-25967.380,32058.225,11147.981,9932.979,5985.901
10.200,813075.938,287928.833,24533.211,-24579.487,32125.360,11348.938,9927.305,5950.858
10.300,819474.594,295707.919,27543.053,-23210.354,31799.043,11484.306,9859.572,5852.694
10.400,825707.675,303502.957,30568.636,-21859.695,31087.034,11553.033,9731.494,5693.114
10.500,831776.610,311313.088,33610.470,-20527.212,30000.300,11554.637,9545.267,5474.326
10.600,837682.910,319137.475,36669.071,-19212.596,28552.880,11489.204,9303.535,5199.014
10.700,843428.162,326975.305,39744.961,-17915.526,26761.714,11357.380,9009.366,4870.306
10.800,849014.030,334825.788,42838.668,-16635.670,24646.455,11160.354,8666.217,4491.742
10.900,854442.248,342688.156,45950.722,-15372.688,22229.261,10899.843,8277.899,4067.237
11.000,859714.617,350561.662,49081.659,-14126.230,19534.580,10578.065,7848.553,3601.051
