time_ms,case1,case2,case3a,case3b
17.600,321234.688,91723.525,8577.862,8504.073
17.700,326490.213,92179.392,8139.839,8074.435
17.800,331771.975,92627.955,7675.177,7606.735
17.900,337079.119,93068.716,7187.367,7104.302
18.000,342410.772,93501.184,6680.045,6570.718
18.100,347766.044,93924.880,6156.956,6009.786
18.200,353144.030,94339.333,5621.930,5425.497
18.300,358543.810,94744.085,5078.842,4822.001
18.400,363964.450,95138.687,4531.580,4203.567
18.500,369405.005,95522.702,3984.014,3574.554
18.600,374864.518,95895.704,3439.963,2939.369
18.700,380342.022,96257.279,2903.163,2302.436
18.800,385836.541,96607.024,2377.235,1668.156
18.900,391347.089,96944.550,1865.660,1040.874
19.000,396872.675,97269.479,1371.746,424.838
19.100,402412.301,97581.445,898.605,-175.834
19.200,407964.962,97880.095,449.132,-757.193
19.300,413529.651,98165.089,25.975,-1315.492
19.400,419105.355,98436.097,-368.478,-1847.213
19.500,424691.058,98692.806,-732.115,-2349.099
19.600,430285.745,98934.912,-1063.122,-2818.176
19.700,435888.396,99162.125,-1359.987,-3251.775
19.800,441497.993,99374.168,-1621.512,-3647.554
19.900,447113.518,99570.775,-1846.822,-4003.509
20.000,452733.951,99751.696,-2035.364,-4317.999
20.100,458358.278,99916.690,-2186.908,-4589.745
20.200,463985.485,100065.531,-2301.551,-4817.849
20.300,469614.561,100198.004,-2379.704,-5001.788
20.400,475244.500,100313.907,-2422.088,-5141.418
20.500,480874.297,100413.051,-2429.725,-5236.970
20.600,486502.955,100495.257,-2403.923,-5289.039
20.700,492129.482,100560.362,-2346.265,-5298.578
20.800,497752.891,100608.210,-2258.586,-5266.883
20.900,503372.201,100638.662,-2142.959,-5195.573
21.000,508986.438,100651.587,-2001.672,-5086.577
21.100,514594.638,100646.869,-1837.204,-4942.110
21.200,520195.841,100624.399,-1652.206,-4764.646
21.300,525789.098,100584.085,-1449.469,-4556.900
21.400,531373.467,100525.841,-1231.905,-4321.795
21.500,536948.017,100449.597,-1002.516,-4062.437
21.600,542511.824,100355.289,-764.366,-3782.094
21.700,548063.977,100242.868,-520.557,-3484.167
21.800,553603.571,100112.293,-274.201,-3172.164
21.900,559129.715,99963.535,-28.388,-2849.671
22.000,564641.528,99796.575,213.834,-2520.321
22.100,570138.140,99611.403,449.488,-2187.765
22.200,575618.691,99408.020,675.696,-1855.642
22.300,581082.333,99186.437,889.697,-1527.547
22.400,586528.232,98946.674,1088.876,-1207.004
22.500,591955.564,98688.760,1270.778,-897.437
22.600,597363.518,98412.735,1433.136,-602.137
22.700,602751.295,98118.645,1573.880,-324.242
